Max Row,6,,Facts,The average person will spend six months of their life waiting for red lights to turn green
,,,,"A bolt of lightning contains enough energy to toast 100,000 slices of bread"
,,,,Cherophobia is the word for the irrational fear of being happy
,,,,You can hear a blue whale's heartbeat from two miles away
,,,,"Nearly 30,000 rubber ducks were lost a sea in 1992 and are still being discovered today"
,,,,There's a Manhattan-specific ant
